chinese_name,english_name,chinese_description,english_description,quality
五香茶叶蛋,tea-flavored boiled eggs,[],[],high
沙爹牛肉,sliced beef with satay sauce,[],[],medium
水煮牛肉,classic sichuan boiled beef in sizzling chilli oil,[],"['Tender cuts of boiled beef in hot Sichuan chilli bean sauce with fresh garlic.', 'Garnished with coriander and a sizzling pile of chillies']",high
牛肉艇仔粥,beef and seafood o,[],[],high
蛋煎糯米鸡,pan fried chicken glutinous rice in lotus leaf,[],[],medium
椒盐鱿鱼塩,salt and pepper squid,[],[],high
凤脯汤,minced chicken breast soup,[],[],high
炭烤百香果银鳕鱼,chargrilled silver cod with yellow bean sauce and passion fruit,[],[],high
葱花炸两肠粉,fried dough stick cheung,[],['Fun V'],high
时菜带子,fried scallops with seasonal vegetables,[],[],medium
和牛烧栗米,barbecued forbidden city sweetcorn wagyu beef meat paste and black truffle,[],[],high
时价龙虾,beancurd seaweed and straw mushroom soup,[],"['Mixed Vegetable Sou', 'Fish Ball Sou', 'Shrimp Dumpling Soup', 'Minced Beef Soup West Lake Style', 'SECONDARY COURSE', 'BARBECUED PEKING DUCK', 'Whole', 'sliced of skin and meat served', 'with pancake and spring onion', 'AROMATIC CRISPY DUCK', 'deep fried shredded meat served', 'Whole', 'with pancake and spring onion', 'FRESH LOBSTER', 'Seasonal Price']",high
师傅炒饭,chefs egg fried rice,[],['with pickled vegetables supplement of'],high
果汁甜酸鸡,sweet t sour chicken,[],[],high
凉拌香酥鸭沙律,crispy aromatic duck salad,[],[],high
鸡球汤面河粉乌冬,chicken t vegetable in soup,[],['with Noodle Rice Stick Udon'],high
麻酱鸡丝拌粉皮,shredded chicken and glass noodles in sesame dressing serve chilled,[],[],high
天妇罗虾配芥末蛋黄酱,tempura prawns with wasabi mayonaise,[],[],high
姜葱带子,scallops with ginger and spring onions,[],[],medium
四川鸡铁板,sizzling szechuan chicken,[],[],medium
虾片,prawn crackers,[],[],high
葱焅河鲫鱼,braised crucian carp with scallion,[],[],high
子姜鸭,sauteed duck with ginger shoots,[],[],high
蜜辣苏格兰和尚鱼,honey chilli scottish monk fish,[],[],medium
羊米粉面,braised lamb belly with pho noodles,[],['Noodles in Soup'],high
野生鲈鱼姜葱蒸古法蒸,steamed wild sea bass with ginger and spring onion,[],['Steamed with Shredded Pork and Chinese Mushrooms'],high
凉拌莜面,cold oat noodles with seascoms sauce,[],[],high
素咕噜肉,sweet and sour vegetables,[],[],high
豉椒青口,mussels in black bean and chilli sauce,[],[],medium
芽菜扣肉,steamed pork slices with preserved vegetable,[],[],high
西芹炒鲈鱼球,sea bream steamed braised in soy sauce deep fried with soy sauce,[],[],high
红烧狮子头,braised pork ball in brown sauce,[],[],high
番茄疙瘩汤,dough drop tomato soup,[],[],medium
佛跳墙,buddha jumps over the wall,[],['For people need to book five days in advance'],high
凉拌牛肚,spicy beef tripe,[],[],medium
煎什菜粉果,pan-fried vegetable dumplings,[],[],high
红糖糍粑,deep fried glutinous rice cake with melted brown sugar,[],[],high
上海肉松生菜饱,shanghai minced pork with lettuce wrap,[],[],medium
烧鸭叉烧双拼,cantonese roasted duck with char sui pork,[],[],medium
韭菜炒蛋,scrambled eggs with chinese chives,[''],[],high
慢煮日本和牛,a slow cooked japanese a wagyu beef,[],[],high
澳带烩鱼肚,braised australian fish maw with scallops,[],[],high
鸡肉小笼包,chicken xiao long bao,[],[],high
泰国咖哩,green curry dishes thai style,[],[],high
尖椒肉片,fried pork slices with chilli peppers,[],[],medium
沙嗲大虾串椒盐骨,salt and pepper pork ribs,[],[],medium
凉拌拍香瓜,cucumber with crushed garlic and sour sauce,[],[],high
金豆芥兰,chinese broccoli with soy beans,[],[],high
咕噜虾球,sweet and sour king prawns,[],[],medium
秘制炒面,chow mein fried soft noodles,[],"['Soft Noodles, Vegetables, with or without Meat']",high
溜肚块,sauteed sliced pork tripe,[],[],high
大虾炒饭,king prawn fried rice,[],[],medium
天外天煎炸点心,wing's fried dim sum,[],[],high
百花酿鸡片,pak far chicken with prawn meat stuffing,[],[],medium
老醋蛰头,jellyish with black vinegar,[],[],high
西柠芝麻虾,sesame king prawns in lemon sauce,[],[],medium
红烧鲈鱼,seabass with seasonal vegetables,[],[],high
椒盐有头虾,shrimp with heads with spiced salt,[],[],high
酸汤肥牛肥羊,"poached supreme snow-flake beef or lamb, enoki mushrooms with green & red chilli in chinese sauerkraut soup",[],"['Supreme Snow-Flake Beef (or Lamb), Enoki Mushrooms, Green & Red Chilli, Chinese Sauerkraut']",high
咖喱羊腩煲,curry lamb brisket in casserole,[],[],high
果汁银元带子,sauteed scallops with fruit juice,[],[],high
芝麻鸡,boiled chicken with sesame,[],[],high
炸酱面,noodles with soybean paste in,[],[],medium
酸辣米粉,pho noodles in hot and sour soup with miced pork,[],[],high
凉拌海蜇,jelly fish with cucumber,[],[],medium
拍黄瓜,patted cucumber with garlic sauce,[],[],medium
土家茄子,tujia braised aubergine with pork mince,[],[],high
清蒸蒜蓉带子,steamed scallop with mashed garlic,[],[],high
时价鲈鱼拖拔,sea bass or turbot,[],['Seasonal Price'],high
咖喱鸡饭,rice topped with curry chicken,[],[],high
鱼香大虾肉,yuxiang prawn meat sauteed with spicy garlic sauce,[],[],high
干葱豆豉鸡煲,stewed chicken with scallion and black bean sauce in casserole,[],[],high
梅子鸭,duck in plum sauce,[],[],medium
麻酱抄手,sesame chao shou dumplings,[],['Chicken dumplings with spicy sesame peanut sauce'],high
酱野菌炒胭脂蚌,sauteed mussel and mushrooms with soy bean paste,[],[],high
酱炒萝卜糕,fried turnip cake with xo sauce,[],[],high
水煮肉片,classic sichuan boiled pork in sizzling chilli oil,[],['Tender cuts of boiled pork in hot Sichuan chilli bean sauce and fresh garlic Garnished with coriander and a sizzling pile of chillies'],high
松子凤冠饺,steamed crystal sachet with pine kernels,[],[],high
柠檬鸡,lemon chicken,[],[],medium
盐焗鸡,salted roasted chicken,[],[],medium
巴山春卷,barshu spring rolls,[],[],high
蜜汁叉烧,barbecued char siu pork,[],[],medium
上素炒鸽脯,sauteed pigeon breast with vegetables,[],[],high
三鲜炒面,three kinds of seafood chow mein,[],[],medium
自带酒水加收开瓶费,beancurd chinese cabbage and vermicelli casserole,[],['Corkage charge applies if you bring your own wines'],high
大虾炒饭,king prawn fried rice,[],[],high
西芹炒鲜贝,stir-fried scallops with celery & chopped red pepper,[],"['Scallops, Celery, Chopped Red Pepper']",high
豉汁豆腐,tofu in black bean sauce,[],['Stir fried tofu with mixed peppers in black bean sauce'],high
麻辣虾春卷,fragrant sichuan cumin prawn spring rolls,[],['Prawn Spring Roll with green peas cumin and chilli'],high
柠檬鸡,chicken in honey and lemon sauce,[],[],medium
荔蓉炸芋角,taro croquette with pork and shrimp,[],[],high
鱼肚粟米羹,fish maw thick soup with sweet corn,[],[],high
特色麻辣烤鱼,special hot spicy fish pot,[],[],medium
梅菜猪肉包,pork with preserved vegetable bun,[],[],medium
烧汁排骨,spare ribs with bbq sauce,[],[],medium
椒盐排骨,salt and pepper pork spare ribs pieces,[],[],medium
清蒸海上鲈鱼,steamed sea bass with ginger and spring onions,[],[],medium
菜胆肘子炖海中宝,"stewed fish maw, sea cucumber and ham with green vegetable",[],[],high
蒜蓉粉丝龙虾,lobster in garlic sauce,[],[],high
油爆全丁,quick fried mixed seafood,[],[],high
葱烧鳗鱼,braised eel with scallion,[],[],high
士召大虾,king prawn with green pepper in,[],['Black Bean Sauce'],high
爆炒鳝鱼丝,stir-fried shredded eel,[],[],high
鸡蛋炒饭,egg fried rice,[],[],medium
淮杞爆乳鸽,stir-fried pigeonneau and chinese wolfberry,[],[],high
卤牛腩,marinated beef brisket,[],[],high
烤红薯,roast sweet potato,[],[],high
酥炸山菌,deep-fried mushrooms,[],[],high
小炒黄牛肉付炒牛肉,stir fried beef with hot peppers,[''],[],high
星洲炒饭,r singapore spicy fried rice,[],[],high
韭皇鲜虾肠粉,barbecue pork cheung fun,[],[],high
椒盐薯条,salt and pepper chips,[],[],medium
韮菜鹿肉炒乌冬,venison and chive fried udon noodle,[],[],high
辣汁串烧鱼,barbequed fish kebab with chili sauce,[],[],high
梅子鸭片煲,roasted duck with plum sauce in clay pot,[],[],medium
川东少妇鸡,sichuan style,[],[],high
山珍菌皇汤,supreme fungus and mushroom soup,[],[],high
牡丹王寿眉,te guan yin tea,[],[],high
干烧虾球,dry-braised prawn,[],[],high
白椒炒鸡胗,sauteed chicken gizzards with pepper,[],[],high
水果沙拉,fruit salad,[],[],high
韭菜虾饺,prawn and chinese chive dumpling,[],[],high
鲜虾韭菜饺豉汁蒸排骨,king prawn and chive,[],"['Spare Ribs in Black', 'Leaf Dumplings', 'Bean Sauce']",medium
蒜蓉三蔬,mixed chinese baby greens with garlic v,[],[],high
生菜丝咸鱼鸡粒炒饭,lettuce,[],[],high
椰香南瓜饼,pan fried pumpkin cake v,[],[],medium
素麻辣香锅木耳金针菇花菜西芹腐竹等等,meatfree assorted dry wok,[],['CLOUD EAR FUNGUS ENOKI MUSHROOM CAULIFLOWER CELERY BEANCURD STICK ETC'],high
鸡煲牙捡翅,braised shark fin in chicken soup ,[],[],high
姜葱牛腩捞面,beef brisket with ginger and scallion on noodle,[],[],high
海鲜汤面海鲜汤米粉,seafood homemade noodle soup rice soup noodle,[],[],high
红烧芋头,braised taro in chillicothe and garlic,[],[],high
椰汁西米露,sweet sago cream with coconut milk,[],"['Sago, Coconut Milk']",high
素炒河粉,sautéed-fried rice noodles with vegetables,[],"['Rice Noodles, Vegetables']",high
百花鲍鱼卷,steamed abalone rolls,[],[],high
奶皇包,custard bun,[],[],high
上汤鸡毛菜,braised green vegetable in broth,[],[],high
烧肉河面版,crispy belly pork with ho fun noodle boiled rice,[],[],medium
斋大头菜饺,vegetable kohlrabi dumpling,[],[],medium
爆鸡,chicken with yellow bean sauce,[],[],medium
八珍煲,assorted meat in casserole,[],[],high
柱候火腩豆腐煲,claypot silken egg tofu and roast pork belly with chu hou sauce,[],[],high
私房麻辣鲈鱼锅,sichuan style whole fish with spicy and,[],"['Mix Vegetable s s', 'A3']",high
醪糟汤圆,tangyuan glutinous rice balls in fermented glutinous rice soup,[],[],high
脆皮自制豆腐,crispy home made tofu with crushed olive,[],['(v)'],high
素烧双冬,braised bamboo shoots and mushroom,[],[],high
黑松露野菌炒牛柳,stir fried fish with ginger and,[],['Spring Onions'],high
榄仁炒鱼环,sauteed minced dace with olives,[],[],high
双冬肉丝,shredded pork with bamboo shoot and chinese mushroom,[],[],high
清汤什菜面,vegetable noodles,[],[],medium
油盐水浸时蔬,braised seasonal vegetable in salty sauce,[],[],high
腰果羊大虾三鲜,lamb king prawn mixed seafood,[],[],high
椒盐排骨黑椒牛柳卷虾多士皇脆皮炸春卷海草酸菜,salt and pepper spare rib fillet steak roll in black pepper sauce,[],['Supreme Prawn Meat on Toast Spring Roll Seaweed and Pickled Vegetables'],high
日式煎锅貼件,shanghai style juicy pork dumplings with crab meat pcs,[],[],high
百花酿蟹钳,deep fried crab claw stuffed with prawn meat,[],[],medium
牛腩汤面,beef brisket in soup with noodle rice stick udon,[],[],high
叉烧烧鸭饭,char siu and roast duck with rice,[],[],medium
大虾炒面,king prawn fried noodle,[],[],medium
虾多士,sesame prawn on baguette,[],[],high
咖喱鱼排饭,rice topped with curry fish fillet,[],[],high
肉末雪菜,stir-fry preserved vegetable with minced pork,[],[],high
苏格兰蓝龙虾炆生面,scottish blue lobster noodle with ginger and spring onion,[],[],high
浓汁四宝鱼翅,shark fin soup with four delicacies,[],[],high
清蒸全鸭,steamed whole duck ,[],[],high
冰镇芥兰,iced chinese broccoli,[],[],high
鲍汁扣东坡肉,braised dongpo pork with abalone sauce,[],[],high
豉椒羊肉,sliced lamb with green pepper in black bean sauce,[],[],medium
百花酿鸭片,pak far roasted duck with prawn meat stuffing,[],[],medium
铁板姜葱大虾,sizzling king prawns with ginger and spring onions,[],[],medium
菜豆花,braised tofu with vegetables,[],[],high
牛肉炒面,beef fried noodle,[],[],medium
羊肚菌鲜味饺,morel mushroom dumpling,[],['(v)'],high
然都是那么此不疲满怀志,velvet crab with preserved vegetable and chilli,[],[],high
油爆大虾,quick fried king prawn with green pepper,[],[],high
香辣牛肉丝,crispy shredded beef in chilli,[],['Crispy shredded beef with chef special chilli sauce and carrots'],medium
香辣干豆丝,dry bean curd with hot spicy sauce,[],[],medium
脆皮炸芋头糕,crispy taro stick served with a sweet chilli sauce,[],[],medium
炸馒头,deep-fried mantou,[],[],high
酥炸大虾,deep fried king prawn,[],[],medium
菠萝古老肉,sweet and sour pork,[],[],high
姜葱面炒,noodles stir fried with ginger and spring onion,[],[],high
干锅牛腩,dry pot beef brisket,[],[],medium
爆炒牛肋骨,stir-fried beef ribs,[],[],high
山城辣子鸡,mountain city wok fried chicken and chilli with,[],"['Garlic And Szechuan Peppercorns Authentic And', 'Typical Dish Worth Trying']",high
姜葱小海蟹,velvet crab with spring onion and ginger,[],[],high
米粉,rice vermicelli soup,[],[],high
沙铁,sizzling chicken satay stir fry,[],[],medium
豉油鸡腿面,soy sauce chicken noodles,[],[],medium
粟米鸡汤,chicken sweetcorn soup,[],[],medium
酸汤肥羊锅,lamb and needle mushroom,[],"['Special Sour Soup s', 'A4']",high
皮蛋瘦肉粥,salty pork and black egg congee,[],[],high
鱼子芥末海鲜筒,seafood spring roll with green mustard and pistachio,[],[],high
宫保鸡丁,gong bao chicken roasted peanuts and essence,[],[],high
烤银丝卷,toasted steamed rolls,[],[],high
豉椒牛肉,beef with black bean sauce,[],[],medium
斋春卷,crispy vegetarian spring roll,[],[],medium
宋嫂鱼羹,song so's fish soup,[],['A comforting soup of fresh seabass and shiitake mushrooms This soup dates back to the Southern Song Dynasty made famous by the Song Emperor Zhao who came across it during his travels contains egg'],high
黄金蛋炒饭,golden egg fried rice,[],['( v )'],high
鸡锅贴,grilled chicken dumpling,[],[],medium
鸡肉生菜包,chicken lettuce wrap served with hoi sin sauce,[],[],medium
黑蒜海鲜粒炒饭,diced lobster fried rice with salted duck egg,[],[],high
鲜味小锅米线,xiao guo rice noodle meatballs mushrooms seaweed house special broth,[],[],medium
脆皮烧肉虾胶,cantonese barbecued pork crackling with prawn plum and,[],[],high
明虾角,prawn balls with mayo,[],[],medium
宫保鸡丁,kung pao chicken ,[],[],high
糟香鹅掌,braised goose webs in rice wine sauce,[],[],high
沙律明虾球,shrimp salad,[],[],high
