chinese_name,english_names,english_descriptions,csi_category
水煮牛肉,sliced beef in chili oil; meat in hot chilli oil beef; spicy hot poached beef; classic sichuan boiled beef in sizzling chilli oil; sliced beef in hot chilli oil,"[]; ['Tender cuts of boiled beef in hot Sichuan chilli bean sauce with fresh garlic.', 'Garnished with coriander and a sizzling pile of chillies']",0
炭烤百香果银鳕鱼,chargrilled silver cod with yellow bean sauce and passion fruit,[],0
葱花炸两肠粉,royal china club mixed seafood cheung fun; fried dough stick cheung; rice pasta roll with crispy dough stick v,[]; ['Fun V']; ['DS'],0
凉拌香酥鸭沙律,crispy aromatic duck salad,[],0
虾片,prawn cracker; prawn crackers,[],0
凉拌莜面,oat noodles with garlic sauce; cold oat noodles with seascoms sauce,[],0
豉椒青口,mussels in chilli and black bean sauce; mussels in black bean and chilli sauce,[],0
佛跳墙,fotiaoqiang steamed abalone with shark fin and fish maw in ; Buddha jumps over the wall; Buddha Jumping over the Wall; buddha jumps over the wall; Buddha jump over the wall soup,[]; ['For people need to book five days in advance']; Súp Phật nhảy tường,0
红糖糍粑,deep fried sticky rice cake strip with brown sugar syrup; deep fried glutinous rice cake with melted brown sugar,[],0
上海肉松生菜饱,shanghai strapped pork chop with lettuce wrap; shanghai minced pork with lettuce wrap,[],0
椒盐骨,salt and pepper spare ribs; salt and pepper pork ribs,[],0
咕噜虾球,sweet and sour prawns; sweet and sour king prawns,[],0
大虾炒饭,king prawn fried rice,[]; ['Fried rice with king prawns eggs sweetcorn carrots and spring onion'],0
百花酿鸡片,pak far chicken with prawn meat stuffing,[],0
西柠芝麻虾,sesame king prawns in lemon sauce,[],0
炸酱面,zha jiang noodles with pork; noodles with soybean paste in,[]; ['Sweet and savoury noodles with minced pork carrots beans sprout cucumbers and yellow bean sauce'],0
咖喱鸡饭,chicken curry with rice; rice topped with curry chicken,[],0
梅子鸭,duck in plum sauce; braised duck with plum sauce,[],0
柠檬鸡,fried boneless chicken in lemon sauce; chicken in honey and lemon sauce; lemon chicken,[],0
